ANO,MÊS,Estado de São Paulo (TOTAL),Metropolitana de São Paulo (TOTAL),Região Metropolitana de São Paulo (RMSP),Município de São Paulo,Demais municípios da RMSP,Demais municípios da MSP,Ribeirão Preto,Campinas,São José do Rio Preto,Bauru,Vale do Paraíba Paulista,Presidente Prudente,Macro Metropolitana Paulista,Piracicaba,Itapetininga,Assis,Araçatuba,Litoral Sul Paulista,Araraquara,Marília
2019,nov.-19,77 159,29 508,25 820,16 000,9 820,3 688,6 222,8 563,4 788,3 966,4 682,1 764,5 847,2 806,1 851,1 249,1 661,1 213,2 038,1 001
2019,dez.-19,78 973,29 795,26 264,16 327,9 937,3 531,6 123,8 884,5 158,4 159,4 723,1 849,6 298,2 719,1 794,1 499,1 707,1 170,2 100,995
2020,jan.-20,85 501,34 417,29 773,18 423,11 350,4 644,5 675,10 150,4 944,4 409,4 821,1 879,6 617,2 911,1 824,1 431,1 845,1 314,2 308,956
2020,fev.-20,61 678,23 828,20 992,13 332,7 660,2 836,4 890,6 844,4 089,2 958,3 626,1 498,4 423,2 283,1 167,1 075,1 308,1 123,1 796,770
2020,mar.-20,68 608,26 528,23 346,14 717,8 629,3 182,5 519,7 584,4 082,3 622,4 059,1 572,5 469,2 320,1 606,950,1 338,1 133,1 983,843
2020,abr.-20,46 711,18 890,16 221,10 083,6 138,2 669,3 690,4 735,3 052,2 145,2 449,1 121,3 813,1 432,1 074,1 017,937,644,1 318,394
2020,mai.-20,48 517,17 074,14 999,9 303,5 696,2 075,4 439,4 949,3 256,2 897,2 655,1 238,4 123,1 459,1 088,1 034,1 539,647,1 372,747
2020,jun.-20,63 018,23 459,20 825,13 324,7 501,2 634,5 801,6 739,4 279,3 238,3 678,1 459,4 625,2 196,1 177,1 173,1 435,986,1 956,817
2020,jul.-20,80 288,28 674,24 992,15 190,9 802,3 682,6 579,8 501,5 400,4 051,4 879,2 131,6 855,2 908,1 597,1 545,2 381,1 322,2 469,996
2020,ago.-20,84 965,31 619,27 673,17 135,10 538,3 946,6 287,9 195,5 366,4 716,4 654,2 152,7 269,3 162,1 913,1 542,2 227,1 388,2 530,945
2020,set.-20,93 425,34 997,29 617,18 649,10 968,5 380,7 244,11 234,5 617,4 965,5 338,2 268,7 862,3 375,2 121,1 525,2 077,1 454,2 327,1 021
2020,out.-20,98 271,38 324,33 207,20 447,12 760,5 117,7 546,11 427,6 094,4 963,5 543,2 139,7 960,3 720,2 140,1 599,1 953,1 519,2 376,968
2020,nov.-20,95 483,37 285,32 758,20 302,12 456,4 527,7 244,10 654,6 134,4 638,5 372,2 447,7 745,3 246,2 017,1 512,1 949,1 596,2 597,1 047
2020,dez.-20,99 204,39 595,35 157,21 616,13 541,4 438,7 864,11 092,6 069,5 029,5 754,2 379,7 112,3 487,1 914,1 689,2 245,1 373,2 586,1 016
2021,jan.-21,95 360,36 104,31 789,20 316,11 473,4 315,7 277,12 065,5 723,4 875,5 283,2 422,7 596,3 114,2 139,1 402,1 934,1 791,2 440,1 195
2021,fev.-21,86 247,33 759,29 883,18 883,11 000,3 876,6 247,10 032,5 526,3 950,4 767,2 008,7 381,2 760,1 748,1 381,2 035,1 556,2 328,769
2021,mar.-21,100 021,38 755,33 689,20 798,12 891,5 066,7 824,11 419,6 019,4 759,5 905,2 056,8 426,3 574,2 279,1 354,1 816,1 691,3 050,1 094
2021,abr.-21,84 955,33 664,30 511,19 047,11 464,3 153,6 765,9 820,4 757,3 964,4 962,1 932,6 981,2 878,1 544,1 288,1 772,1 367,2 344,917
